shot_id,MatchId,goal,x,y,dist,angle,y_off,n_def_cone,n_def_3m,n_def_5m,d_def_min,n_att_box,n_def_box,shooter_speed,ball_z,ball_speed,gk_dist_goal,gk_dist_shot,gk_in_cone,gk_off_line,ev.EventId,ev.MatchId,setpiece_parent,outcome,xG,DistanceToGoal,AngleToGoal,Pressure,GoalDistanceGoalkeeper,AmountOfDefenders,PlayerSpeed,TypeOfShot,TakerBallControl,TakerSetup,BuildUp,ShotOrigin,InsideBox,CounterAttack,ChanceEvaluation,ShotCondition,AssistTypeShotAtGoal,SetupOrigin,ExtendedTypeOfShot,Player,Team
18226500001126,DFL-MAT-J03WMX,0,95.82,41.11,11.611395264997231,28.959725280265136,7.109999999999999,1,3,3,1.8529975715040772,7,10,8.28,1.84,60.83,1.419471732723123,10.386924472624235,1,0.6787556378998102,18226500001126,DFL-MAT-J03WMX,openPlay,SavedShot,0.0258,11.61,28.96,1.79,0.57,4.0,8.28,head,volley,cornerKick,cornerKick,3,1,0,chance,notComplicated,direct,right,frontalVolley,DFL-OBJ-000270,DFL-CLU-000008
18226500001292,DFL-MAT-J03WMX,0,95.67,36.46,9.648860036294442,40.591809568160365,2.460000000000001,0,4,6,0.6003332407921467,5,8,1.97,1.94,3.47,0.6099999999999994,9.060353193998564,1,0.15552096251323494,18226500001292,DFL-MAT-J03WMX,openPlay,BlockedShot,0.0466,9.65,40.59,2.97,0.61,4.0,1.97,head,volley,cornerKick,cornerKick,3,1,0,chance,notComplicated,direct,right,frontalVolley,DFL-OBJ-J017RE,DFL-CLU-00000G
18226500001277,DFL-MAT-J03WMX,0,91.83,27.299999999999997,14.776295205497219,25.19208078017022,6.700000000000003,2,1,4,2.5600781238079473,4,6,13.33,0.09,17.76,2.3286262044389994,12.458290412412136,1,0.20398211852715822,18226500001277,DFL-MAT-J03WMX,openPlay,BlockedShot,0.0815,14.78,25.19,1.02,2.16,3.0,13.33,leftLeg,dribblingMore10m,otherPassFromOpenPlay,run,3,1,0,chance,notComplicated,others,right,,DFL-OBJ-0002AU,DFL-CLU-00000G
18226500001279,DFL-MAT-J03WMX,0,101.06,41.629999999999995,8.587228889461368,25.5446599231172,7.6299999999999955,0,1,2,2.0436486977951964,4,6,3.23,1.67,40.53,7.636471698369611,0.9563472172804104,1,0.09736551928016222,18226500001279,DFL-MAT-J03WMX,openPlay,SavedShot,0.0544,8.59,25.54,1.33,4.73,0.0,3.23,head,volley,oppositionDefensiveAction,run,3,1,0,chance,notComplicated,indirect,right,frontalVolley,DFL-OBJ-0027G6,DFL-CLU-00000G
18226500001344,DFL-MAT-J03WMX,0,100.25,38.43,6.495182830375138,50.373053604045154,4.43,1,1,5,1.4840485167271362,6,10,13.91,0.15,47.94,0.768439978137525,5.833532377556495,1,0.3701666393062999,18226500001344,DFL-MAT-J03WMX,openPlay,ShotWide,0.2451,6.5,50.37,0.89,0.24,1.0,13.91,leftLeg,direct,header,cornerKick,3,1,0,chance,notComplicated,direct,right,,DFL-OBJ-002G4A,DFL-CLU-000008
18226500001347,DFL-MAT-J03WMX,0,95.78999999999999,20.340000000000003,16.474820181112754,14.643027431566745,13.659999999999997,0,1,1,1.5677372228788755,1,3,25.6,0.2,47.31,4.678995618719891,11.79627483572675,1,0.05492624441737561,18226500001347,DFL-MAT-J03WMX,openPlay,ShotWide,0.0577,16.47,14.64,0.47,2.58,0.0,25.6,rightLeg,dribblingMore10m,otherPassFromOpenPlay,run,4,1,0,chance,notComplicated,others,insideRight,,DFL-OBJ-0002AU,DFL-CLU-00000G
18226500001392,DFL-MAT-J03WMX,0,91.62,40.46,14.857859872808058,25.28255943990655,6.460000000000001,0,1,2,1.8852055590836727,4,4,8.68,0.11,14.61,3.652245884384017,11.207323498498647,1,0.09703954757567032,18226500001392,DFL-MAT-J03WMX,openPlay,ShotWide,0.1118,14.86,25.28,0.84,3.33,2.0,8.68,rightLeg,dribblingLess10m,oppositionMisplacedPass,lossOfPossession,3,1,0,chance,notComplicated,,left,,DFL-OBJ-0000RP,DFL-CLU-00000G
18226500001554,DFL-MAT-J03WMX,1,87.9,43.14,19.38941979534199,19.047266436213807,9.14,2,1,2,1.0623088063270367,3,8,18.3,0.0,0.0,2.1107344693257866,17.365022314987094,1,0.565380507292619,18226500001554,DFL-MAT-J03WMX,openPlay,SuccessfulShot,0.0498,19.39,19.05,0.97,2.06,3.0,18.3,rightLeg,dribblingLess10m,otherPassFromOpenPlay,passOpenPlay,8,0,0,chance,notComplicated,direct,left,scoop,DFL-OBJ-002GCR,DFL-CLU-00000G
18226900000020,DFL-MAT-J03WN1,0,90.31,40.71,16.149928792412677,23.489779176999527,6.710000000000001,1,3,3,1.1322543883774523,3,4,9.0,0.0,3.1,3.1303993355481063,13.020138248113952,1,0.05543058495840644,18226900000020,DFL-MAT-J03WN1,openPlay,BlockedShot,0.0354,16.15,23.49,1.35,2.87,2.0,9.0,rightLeg,dribblingLess10m,otherPassFromOpenPlay,passOpenPlay,3,1,0,chance,notComplicated,direct,insideLeft,,DFL-OBJ-J013O2,DFL-CLU-00000B
18226900000023,DFL-MAT-J03WN1,0,94.79,23.78,14.446193270200972,20.94110030788588,10.219999999999999,0,1,3,2.6565014586858315,5,6,4.49,0.53,34.71,2.699407342362391,11.848160194730655,1,0.6633996805074385,18226900000023,DFL-MAT-J03WN1,openPlay,BlockedShot,0.0426,14.45,20.94,0.88,1.38,2.0,4.49,rightLeg,controlShot,oppositionDefensiveAction,passOpenPlay,4,1,0,chance,notComplicated,indirect,insideLeft,,DFL-OBJ-002G02,DFL-CLU-00000B
