shot_id,match_id,goal,M0,M1,M2,REF
18226500000041,DFL-MAT-J03WMX,0,0.0727556106864699,0.08833012071699783,0.0530010726771416,0.0476
18226500000187,DFL-MAT-J03WMX,1,0.022229236209982704,0.022322952626645343,0.015337176738953706,0.0399
18226500000282,DFL-MAT-J03WMX,0,0.6166672974114603,0.7667651512606232,0.7308884279551956,0.0847
18226500000365,DFL-MAT-J03WMX,0,0.02420349324596357,0.024652266828217237,0.022296327670207502,0.0448
18226500000396,DFL-MAT-J03WMX,0,0.043971491079747634,0.04938699038400868,0.03651548038214821,0.1542
18226500000482,DFL-MAT-J03WMX,0,0.16742358601591883,0.2251128101565552,0.2443181132002346,0.104
18226500000536,DFL-MAT-J03WMX,0,0.004602828682692782,0.003548068605793082,0.004443812210044152,0.0202
18226500000602,DFL-MAT-J03WMX,0,0.017682266499951485,0.017090527940085906,0.021651420028785322,0.0155
18226500000848,DFL-MAT-J03WMX,0,0.01639646765677886,0.015648511888846667,0.015055464937942334,0.0713
18226500001065,DFL-MAT-J03WMX,0,0.00593378175235913,0.004773537564927871,0.004249009336462403,0.0188
18226500001126,DFL-MAT-J03WMX,0,0.037063208210031444,0.04049477663668018,0.034965437243780116,0.0258
18226500001292,DFL-MAT-J03WMX,0,0.05654111652829295,0.06607438206593852,0.04455514006282911,0.0466
18226500001277,DFL-MAT-J03WMX,0,0.047046921266534064,0.05341440276226473,0.062304736926398416,0.0815
18226500001279,DFL-MAT-J03WMX,0,0.027233440876015702,0.028286529688558607,0.01994650639340254,0.0544
18226500001344,DFL-MAT-J03WMX,0,0.16007890654491827,0.2143828683584244,0.1884889567719224,0.2451
18226500001347,DFL-MAT-J03WMX,0,0.05478533967298734,0.06370950713374127,0.13035730210275084,0.0577
18226500001392,DFL-MAT-J03WMX,0,0.10342252340026606,0.1318642187437136,0.08275886368116761,0.1118
18226500001554,DFL-MAT-J03WMX,1,0.026742537106002592,0.02769310329187112,0.03580017735741349,0.0498
18226900000020,DFL-MAT-J03WN1,0,0.03617587460453846,0.04511870800794707,0.031203840179556415,0.0354
18226900000023,DFL-MAT-J03WN1,0,0.0941583256064862,0.10614936949717124,0.05549418763849798,0.0426
18226900000027,DFL-MAT-J03WN1,0,0.1304882986068794,0.14204172569094276,0.10164837166855942,0.0785
18226900000033,DFL-MAT-J03WN1,0,0.016643791064731208,0.02247008494215804,0.01637544159840135,0.0239
18226900000272,DFL-MAT-J03WN1,1,0.3256477917455807,0.322774640342652,0.42469541251480225,0.8438
18226900000281,DFL-MAT-J03WN1,0,0.008059412556388269,0.01169505864078587,0.01595394881616081,0.0405
18226900000325,DFL-MAT-J03WN1,0,0.09964111247311168,0.11165040819072251,0.08199500894764343,0.0448
18226900000380,DFL-MAT-J03WN1,0,0.04191860838044988,0.051486291994183635,0.04858122243567757,0.0593
18226900000439,DFL-MAT-J03WN1,0,0.02880304322586722,0.03677793133844444,0.03021300288093101,0.012
18226900000449,DFL-MAT-J03WN1,0,0.09365509604913856,0.10564274037669857,0.20345019781458856,0.1869
18226900000478,DFL-MAT-J03WN1,1,0.23431671578901056,0.23980360973617704,0.2874002914660254,0.1542
18226900000500,DFL-MAT-J03WN1,0,0.004232347401891835,0.006541410026622799,0.005290573952244274,0.0199
18226900000623,DFL-MAT-J03WN1,0,0.00972295377381643,0.01384987700916008,0.014332060599305587,0.019
18226900000659,DFL-MAT-J03WN1,0,0.018981751474248024,0.025289033237722608,0.021480297791659164,0.0379
18226900000769,DFL-MAT-J03WN1,0,0.020607674555174735,0.027227768899278523,0.03915567811515967,0.0358
18226900000878,DFL-MAT-J03WN1,0,0.13339210752804442,0.1448602763418113,0.111696967372208,0.1065
18226900000899,DFL-MAT-J03WN1,0,0.14957448886686814,0.160455017115536,0.2644147936026159,0.2279
18226900000951,DFL-MAT-J03WN1,0,0.10925064820894362,0.1212138957648881,0.11734943971924863,0.1041
18226900001121,DFL-MAT-J03WN1,0,0.20191695741548132,0.20983933313576136,0.2791965970046111,0.2427
18226900001209,DFL-MAT-J03WN1,1,0.14403310413476597,0.1551354222487208,0.1853525769055648,0.1896
18226900001233,DFL-MAT-J03WN1,0,0.05913119146541388,0.07005005399572513,0.12025781459633948,0.0679
18232100000016,DFL-MAT-J03WOH,0,0.04163666921373598,0.048512391655406606,0.03146413570289201,0.0325
18232100000022,DFL-MAT-J03WOH,0,0.1240010219158662,0.13588006575541572,0.0821392182761735,0.0897
18232100000067,DFL-MAT-J03WOH,0,0.057124703581569417,0.0654293507392083,0.05816483408713874,0.1467
