shot_id,MatchId,goal,xG,open_frac,open_frac_nogk,open_angle,gk_block_share,def_closing,orient,n_corridor,d_corridor,score_diff,minute,ball_z
18226500000041,DFL-MAT-J03WMX,0,0.0476,0.8512396694214877,1.0,18.187953627616317,0.14876033057851235,2.396311230454282,131.90108486400757,1,3.0428857687183246,0,0.0,0.66
18226500000187,DFL-MAT-J03WMX,1,0.0399,0.38016528925619836,0.47107438016528924,5.902137953853207,0.09090909090909088,4.7717670729735415,35.24582397372928,1,1.4881246497315226,0,6.123900000000001,0.12
18226500000282,DFL-MAT-J03WMX,0,0.0847,1.0,1.0,30.776498654647668,0.0,1.141146792059051,13.42405621070732,0,40.0,-1,10.477233333333334,0.29
18226500000365,DFL-MAT-J03WMX,0,0.0448,0.0,0.0,0.0,0.0,1.4820775974073417,130.19707218392202,1,1.472755071181103,1,15.043333333333333,0.0
18226500000396,DFL-MAT-J03WMX,0,0.1542,0.0,0.0,0.0,0.0,3.0860218811038393,11.882332073734528,2,0.5201434623451864,1,16.81745,2.01
18226500000482,DFL-MAT-J03WMX,0,0.104,0.8512396694214877,1.0,25.346237068635688,0.14876033057851235,2.5687566226823395,12.19222855457668,2,0.2518911424677821,-1,20.835233333333335,0.08
18226500000536,DFL-MAT-J03WMX,0,0.0202,0.45454545454545453,0.6198347107438017,5.475567371764018,0.16528925619834717,1.1758438374527795,61.3177426778828,3,1.2106268256581834,-1,24.872700000000002,0.17
18226500000602,DFL-MAT-J03WMX,0,0.0155,0.04132231404958678,0.04132231404958678,1.1436177393346338,0.0,0.3066807700431498,39.4471943379676,1,1.0801253488511258,-1,28.777449999999998,1.92
18226500000848,DFL-MAT-J03WMX,0,0.0713,0.4297520661157025,0.4793388429752066,6.654158881470247,0.049586776859504134,6.006043883701999,24.170211032527607,2,5.711227495279359,1,41.69625,1.6
18226500001065,DFL-MAT-J03WMX,0,0.0188,0.2892561983471074,0.32231404958677684,4.321184911181347,0.03305785123966942,2.483792774056603,100.67095200247228,3,2.6237375601728656,-1,74.42741666666667,0.09
