shot_id,match_id,goal,DFL0,DFL1,DFL2,REF
18226500000041,DFL-MAT-J03WMX,0,0.0806015131740579,0.10460769169880063,0.06618007433402529,0.0476
18226500000187,DFL-MAT-J03WMX,1,0.05803340221706756,0.042894206035736404,0.02834351194025465,0.0399
18226500000282,DFL-MAT-J03WMX,0,0.19975087694895935,0.28171472980109546,0.23733584357187032,0.0847
18226500000365,DFL-MAT-J03WMX,0,0.08311056385499388,0.03411855746358803,0.028889149412686107,0.0448
18226500000396,DFL-MAT-J03WMX,0,0.27927063831444005,0.0904569199321059,0.07507597852739621,0.1542
18226500000482,DFL-MAT-J03WMX,0,0.12397308015089281,0.17482346737925233,0.19733446248083908,0.104
18226500000536,DFL-MAT-J03WMX,0,0.03674733506960641,0.01778702366124744,0.0205902132494057,0.0202
18226500000602,DFL-MAT-J03WMX,0,0.1132900422662319,0.03401693781442256,0.0385870825665006,0.0155
18226500000848,DFL-MAT-J03WMX,0,0.0889146608788337,0.039978770575167834,0.038378689622793616,0.0713
18226500001065,DFL-MAT-J03WMX,0,0.03768267338909797,0.008400908883378235,0.008003284607440719,0.0188
18226500001126,DFL-MAT-J03WMX,0,0.13944577716899914,0.051604590127692855,0.050892989545106036,0.0258
18226500001292,DFL-MAT-J03WMX,0,0.19703874471654498,0.05899743482553687,0.052700434249498315,0.0466
18226500001277,DFL-MAT-J03WMX,0,0.10208611182030859,0.028174788807329154,0.038229227988536285,0.0815
18226500001279,DFL-MAT-J03WMX,0,0.17435597544610504,0.1998138346185019,0.10107583781272385,0.0544
18226500001344,DFL-MAT-J03WMX,0,0.30447877127090234,0.22414159670944475,0.23486590008616853,0.2451
18226500001347,DFL-MAT-J03WMX,0,0.07560169961920578,0.10751164530949611,0.16491260678192574,0.0577
18226500001392,DFL-MAT-J03WMX,0,0.10161026945992746,0.0999390126937619,0.06711980605323126,0.1118
18226500001554,DFL-MAT-J03WMX,1,0.06642153638832289,0.02699980381772199,0.03764945840221421,0.0498
18226900000020,DFL-MAT-J03WN1,0,0.0906676031468389,0.03968172132792407,0.030012272140902036,0.0354
18226900000023,DFL-MAT-J03WN1,0,0.09882408212961298,0.1453692074150431,0.08692856988660749,0.0426
18226900000027,DFL-MAT-J03WN1,0,0.1266699885028944,0.11648994612793998,0.1016844934848732,0.0785
18226900000033,DFL-MAT-J03WN1,0,0.06139586372992618,0.07892627984949659,0.05401741115489824,0.0239
18226900000272,DFL-MAT-J03WN1,1,0.17350865820929612,0.4297314613659975,0.53915029010221,0.8438
18226900000281,DFL-MAT-J03WN1,0,0.05585364486193357,0.038564342964948185,0.0440110019717019,0.0405
18226900000325,DFL-MAT-J03WN1,0,0.10393340514458803,0.08290388590897495,0.07214837028195471,0.0448
18226900000380,DFL-MAT-J03WN1,0,0.07026565404576039,0.052776334237322337,0.05102221335376698,0.0593
