model,desc,n_feat,auc,auc_lo,auc_hi,d_vs_dfl0,d_lo,d_hi,logloss,brier,pred_goals,calib
DFL0,거리·각도만,3.0,0.6184440559440559,0.39639311563285445,0.7828482791718085,0.0,0.0,0.0,0.320446944343359,0.09005157220014515,16.36222800339165,1.022639250211978
DFL1,공통 피처 (M0와 같은 피처),21.0,0.7202797202797202,0.5277777777777778,0.8498205834511733,0.10183566433566427,0.006184402699436029,0.20278110730593601,0.2939007301244936,0.0824262917223298,16.230159895921627,1.0143849934951017
DFL2,공통 피처 + 트래킹 (M2와 같은 입력),23.0,0.7198426573426573,0.5178861565262577,0.8454862905035513,0.10139860139860135,-0.005957620724346055,0.2138364779874214,0.2914243178173601,0.08112536963595048,16.300662061086967,1.0187913788179355
REF,DFL 제공 xG (참고),,0.8227709790209791,0.6441132377556219,0.91890756302521,0.20432692307692313,0.10589873914340679,0.27992770459218896,0.2504315712238323,0.07055692220125785,14.5609,0.91005625
