shot_id,match_id,goal,ref_xg,split,A_LogReg,A_GBM,B_LogReg,B_GBM,C_LogReg,C_GBM,D_LogReg,D_GBM,P_LogReg,P_GBM
9ccf3726-4e60-42c1-8d98-7b781cb645be,265839,0,0.009876591,dev,0.020991906365401297,0.006998343106890797,0.012076042684623913,0.007651751471945467,0.017366070164754242,0.01149343561857729,0.01696303676396842,0.011276660724969976,0.02192609150790218,0.009140003654589196
17fdb72a-51af-4330-9f93-33bc4eb48429,265839,0,0.047872115,dev,0.050188450859040376,0.06896495445258105,0.05555036791405956,0.05271682196369228,0.0343585405451892,0.04370344425579578,0.03726795271897322,0.050064764429153946,0.026415031568801418,0.0407487117167639
662e09af-f31c-4259-ad2d-d2d2264c7fd4,265839,0,0.40467066,dev,0.35738118910587835,0.1917978611375481,0.5606419299842741,0.43152669836816776,0.4322786603251655,0.19932508811310654,0.41577318761787974,0.18038530180134466,0.28807224972637896,0.14648840571062666
69fc7a02-2f21-4934-8c79-4e14c0adc61e,265839,0,0.053838894,dev,0.027761023356289723,0.0592458770137924,0.03579457387491285,0.03324348478989782,0.04160020175524737,0.043949670580632566,0.039903334242113654,0.04668983007548988,0.04079150116582684,0.037726757920658105
5b047083-b595-40f1-9e5c-ffd6d5a80891,265839,0,0.025850605,dev,0.1059376210092326,0.1020813563019438,0.11459332875645284,0.07519184909879256,0.05530161027877614,0.04108613478744216,0.0553497632774269,0.03664406170275867,0.03493901202337785,0.026942113541247918
06d7096b-8bc5-4acf-be18-91570ffcf0d9,265839,0,0.09093727,dev,0.052917223306862035,0.03411630340924046,0.04402071456415578,0.028674922468373203,0.03482823746914253,0.029578271700084903,0.03668344708242284,0.03374343663963217,0.06070968506641361,0.06599821695812329
d36c946f-dcd0-41e8-a720-e07de3f8e858,265839,0,0.0098226555,dev,0.008789066219025152,0.011126180766304783,0.010233237902883628,0.01005065030945189,0.012809044578904638,0.016652442721730772,0.012587588273451583,0.014000034965357106,0.01584811596444232,0.014120935903395505
74b1bbae-c2aa-4497-b198-81fd2cea51c3,265839,1,0.11995524,dev,0.16402179325156593,0.1296958671569795,0.1611683401434172,0.12806109943610663,0.1412048526223801,0.18312275841341574,0.14479664225893243,0.20105529782956097,0.20721187577591185,0.17491241254872333
a24e1560-f6d7-4aa9-8912-bcaa3f7ba25e,265839,1,0.074548624,dev,0.11224312393515491,0.1556413710795253,0.11006647156790941,0.2325558889590965,0.08154423194304035,0.3509076451411666,0.08288648991426738,0.3145479294778261,0.06708823094010598,0.29012316784048325
ae1d1d74-5ec3-46e3-8264-098e2672cd30,265839,0,0.035938945,dev,0.0374995173602281,0.06825548289513092,0.028317031705961053,0.04564796699692723,0.01930800149056033,0.037180398948874614,0.019744043989551516,0.033359842696587476,0.01858073874621062,0.048913886120650986
