dist,angle,y_off,open_frac,open_frac_nogk,open_angle,gk_block_share,n_visible,n_opp_visible,has_gk,n_def_cone,n_def_3m,n_def_5m,d_def_min,n_corridor,d_corridor,gk_dist_goal,gk_dist_shot,gk_in_cone,gk_off_line,n_att_box,n_def_box,inside_box,source,match_id,shot_id,goal,ref_xg,shot_type,body_part,is_head,is_fk,technique,play_pattern,under_pressure,minute,period,x_raw,y_raw,first_time,aerial_won,one_on_one,open_goal,has_assist,ast_length,ast_height,ast_cross,ast_through,ast_cutback,ast_switch,ast_setpiece,poss_duration,poss_n_pass,poss_start_x,poss_directness,prev_type,carry_len
6.5780335207415925,55.55266768755853,2.8049999999999997,0.859504132231405,1.0,47.747747433934606,0.14049586776859502,15,9,1,0,3,5,0.8913613184337766,1,0.012598750027454364,1.9967223141939443,5.332609586309501,1.0,1.3929694902143048,5,8,1,statsbomb,265839,5f2c0a4c-b28d-4566-b981-143f90414d9e,0,0.17814218,Open Play,Head,1,0,Normal,From Corner,0,34,1,113.2,43.3,0,0,0,0,1,37.05199,High Pass,0,0,0,0,Corner,1.5960000000000036,1,105.0,-3.7280701754385897,Pass,0.0
14.39165144276361,21.148025423951168,10.114999999999998,0.45454545454545453,0.628099173553719,9.612738829068713,0.1735537190082645,10,6,1,0,2,2,1.4144897489907777,1,1.3318203144530383,2.3328161629241135,12.241965732675455,1.0,0.8351369575479437,1,4,1,statsbomb,265839,89a04be6-6216-400b-bb20-0e5a00648267,0,0.058455277,Open Play,Left Foot,0,0,Normal,Regular Play,0,36,1,108.3,28.1,0,0,0,0,1,17.441616,Ground Pass,0,0,0,0,Open,2.6019999999998618,1,79.71249999999999,5.784012298232441,Carry,2.8952935947844756
16.293143496575485,17.488492287297454,12.154999999999994,0.7272727272727273,0.9173553719008265,12.718903481670877,0.1900826446280992,13,8,1,0,3,3,1.98411819204401,2,1.862895579749817,1.6661351235719093,14.638807371162455,1.0,0.18761342773680173,5,7,1,statsbomb,265839,aa11f794-5f85-403b-aa97-8700f34f75bf,0,0.05036783,Open Play,Left Foot,0,0,Normal,From Free Kick,0,43,1,107.6,54.3,0,0,0,0,1,23.80021,Ground Pass,0,0,0,0,Open,15.791999999999916,5,49.0875,2.85350177304966,Carry,3.2645836258242795
9.151809930281551,32.50620927665244,6.800000000000001,0.30578512396694213,0.49586776859504134,9.939915233356531,0.1900826446280992,8,6,1,1,1,1,2.0709237069481805,1,2.0290248750204007,2.4886605332989853,6.851746583901077,1.0,0.8208075842074408,1,4,1,statsbomb,265839,6eb95748-fa04-4ce3-a3d2-6fda0f133f17,0,0.08411409,Open Play,Right Foot,0,0,Volley,From Throw In,0,46,2,113.0,32.0,1,0,0,0,1,39.51025,High Pass,1,0,0,0,Open,32.00999999999999,12,43.574999999999996,1.727585129646986,Pass,0.0
4.161838536031874,80.33881727270162,2.719999999999999,0.8677685950413223,1.0,69.7155025920138,0.1322314049586777,15,9,1,0,1,1,1.0521555255759523,0,40.0,2.7549602991694804,2.7124999999999915,1.0,1.7727742045068775,6,8,1,statsbomb,265839,a093bff3-c7a9-45d7-a082-324c0fe1688e,1,0.60040843,Open Play,Left Foot,0,0,Normal,From Corner,1,47,2,116.4,43.2,1,0,0,0,1,15.404221,Low Pass,0,0,0,0,Open,12.281000000000006,5,105.0,-0.25649377086556385,Pass,0.0
9.207672072787995,32.86296193294504,6.715,0.8099173553719008,1.0,26.616283218418296,0.1900826446280992,8,5,1,0,1,2,0.857762350537718,0,40.0,3.1740756528476135,6.285362459715428,1.0,1.0201886454841684,3,4,1,statsbomb,265839,8f565fe3-83a6-4333-9137-f405b4fef084,0,0.2219417,Open Play,Left Foot,0,0,Normal,Regular Play,1,50,2,112.8,32.1,0,0,1,0,1,8.336066,Ground Pass,0,1,0,0,Open,36.19399999999996,7,30.625,1.8808366027518395,Carry,6.7150991243614575
7.752336744491954,49.04020401840418,2.4649999999999963,0.7355371900826446,1.0,36.07089386477663,0.2644628099173554,12,8,1,0,2,4,0.9382197237321271,0,40.0,4.474667585419047,3.3638854023286986,1.0,0.5737141131233863,4,7,1,statsbomb,265839,58af3348-f694-4c6c-bae1-100045ec79be,0,0.29583842,Open Play,Right Foot,0,0,Normal,From Throw In,0,51,2,111.6,42.9,0,0,0,0,1,6.0440054,Ground Pass,0,0,0,0,Open,24.454999999999984,10,25.375,2.95542833776324,Carry,3.5115532531915186
20.070531881342863,19.39042053047809,7.225000000000001,0.5289256198347108,0.5454545454545454,10.256090197938825,0.016528925619834656,14,9,1,2,0,0,6.499094167651372,2,8.540509215868957,1.2840974456792544,18.87185818222468,1.0,0.44653462862791177,3,8,0,statsbomb,265839,16335c5d-6b5d-49cc-bbaa-ab56f8749c3c,0,0.049691185,Open Play,Right Foot,0,0,Normal,Regular Play,0,53,2,98.6,48.5,1,0,0,0,1,23.700844,Ground Pass,0,0,0,0,Open,87.71899999999994,30,12.1625,0.8448853726102674,Pass,0.0
9.05573023008084,37.43381777229781,5.525000000000002,0.24793388429752067,0.39669421487603307,9.281111844371358,0.1487603305785124,15,10,1,1,3,3,1.3080615428946778,3,0.11955137492985168,2.1567568244936655,7.353288380037869,1.0,1.1892469990135552,4,8,1,statsbomb,265839,6988c7d9-c1eb-422f-a6bd-ed978ed1b79a,0,0.062141947,Open Play,Head,1,0,Normal,From Corner,0,54,2,111.8,33.5,0,0,0,0,1,47.58624,High Pass,0,0,0,1,Corner,2.5090000000000146,1,105.0,-2.859705061777583,Pass,0.0
16.144445639290314,24.75503185885957,4.25,0.8760330578512396,1.0,21.686226256521607,0.12396694214876036,13,8,1,0,2,2,2.1956505300252225,1,1.8601792325970714,1.8303619860563154,14.638121464177015,1.0,0.9895508558757937,2,6,1,statsbomb,265839,ae9b49a7-f910-49a2-817f-87581b0d8ffb,0,0.11445379,Open Play,Left Foot,0,0,Normal,Regular Play,0,58,2,102.2,45.0,1,0,0,0,1,21.731314,Ground Pass,1,0,0,0,Open,5.654999999999973,2,74.28750000000001,2.676834659593291,Pass,0.0
