model,desc,auc,auc_lo,auc_hi,d_vs_m0,d_lo,d_hi,logloss,brier,pred_goals,calib
M0,SB 모델 그대로 (외부 테스트),0.771416083916084,0.562133072407045,0.8800818395164769,0.0,0.0,0.0,0.29142850432181366,0.08428766725371485,11.714016264158667,0.7321260165099167
M1,"+ 리그 보정 (a, b)",0.7578671328671329,0.539628180039139,0.877157731014465,-0.013548951048951041,-0.023772609819121326,-1.1102230246251565e-16,0.2993652790675975,0.0869449162908407,13.64080055037938,0.8525500343987112
M2,"+ 리그 보정 + 트래킹 (a, b, γ)",0.7596153846153846,0.5643687934267971,0.870125560195991,-0.01180069930069938,-0.03030229966938836,0.016701402228198253,0.290631570596455,0.08371074961006582,13.984293840952303,0.8740183650595189
REF,DFL 제공 xG (참고),0.8227709790209791,0.6441132377556219,0.91890756302521,0.051354895104895104,-0.01818988464951199,0.10569955281991524,0.2504315712238323,0.07055692220125785,14.5609,0.91005625
