dist,angle,y_off,open_frac,open_frac_nogk,open_angle,gk_block_share,n_visible,n_opp_visible,has_gk,n_def_cone,n_def_3m,n_def_5m,d_def_min,n_corridor,d_corridor,gk_dist_goal,gk_dist_shot,gk_in_cone,gk_off_line,n_att_box,n_def_box,inside_box,shooter_speed,shooter_accel,ball_z,ball_speed,def_closing,orient,source,match_id,shot_id,goal,ref_xg,shot_type,body_part,is_head,is_fk,technique,play_pattern,under_pressure,minute,period,score_diff,dfl_dist,dfl_angle
17.148064030671218,21.366430960597807,8.310000000000002,0.8512396694214877,1.0,18.187953627616317,0.14876033057851235,22,11,1,0,1,2,2.5004999500099974,1,3.0428857687183246,2.4177055238386638,14.902576958365291,1,0.835091353425478,0,5,1,3.63,-4.14,0.66,14.12,2.396311230454282,131.90108486400757,dfl,DFL-MAT-J03WMX,18226500000041,0,0.0476,openPlay,rightLeg,0,0,controlShot,crossOpenPlay,,0.0,,0,17.15,21.37
20.51904724883687,15.525188965570392,13.479999999999997,0.38016528925619836,0.47107438016528924,5.902137953853207,0.09090909090909088,22,11,1,0,1,2,1.5430489298787624,1,1.4881246497315226,3.550464758309813,16.969728931246962,1,0.08204571974438239,2,5,1,12.52,-3.92,0.12,12.85,4.7717670729735415,35.24582397372928,dfl,DFL-MAT-J03WMX,18226500000187,1,0.0399,openPlay,rightLeg,0,0,dribblingLess10m,passOpenPlay,,6.123900000000001,,0,20.52,15.53
8.00212471784838,30.776498654647668,6.859999999999999,1.0,1.0,30.776498654647668,0.0,22,11,1,0,1,1,2.281775624376766,0,40.0,7.56838159714479,0.8409518416651375,0,0.6999141099997556,2,4,1,12.52,0.0,0.29,5.46,1.141146792059051,13.42405621070732,dfl,DFL-MAT-J03WMX,18226500000282,0,0.0847,openPlay,rightLeg,0,0,dribblingLess10m,throwIn,,10.477233333333334,,-1,8.0,30.78
16.427918309998987,20.111212765303407,10.259999999999998,0.0,0.0,0.0,0.0,22,11,1,1,1,1,1.4851935900750393,1,1.472755071181103,2.669925092582189,13.802007100418399,1,0.44247237311715515,3,7,1,9.07,-4.28,0.0,25.59,1.4820775974073417,130.19707218392202,dfl,DFL-MAT-J03WMX,18226500000365,0,0.0448,openPlay,leftLeg,0,0,direct,passOpenPlay,,15.043333333333333,,1,16.43,20.11
7.183787301973797,49.07053245270177,3.9200000000000017,0.0,0.0,0.0,0.0,22,11,1,1,1,2,0.5375872022286299,2,0.5201434623451864,0.8485281374238601,6.42435989029257,1,0.35780569384254957,4,8,1,10.07,0.0,2.01,42.48,3.0860218811038393,11.882332073734528,dfl,DFL-MAT-J03WMX,18226500000396,0,0.1542,openPlay,head,1,0,volley,crossOpenPlay,,16.81745,,1,7.18,49.07
13.213644463205442,29.775676556358427,3.979999999999997,0.8512396694214877,1.0,25.346237068635688,0.14876033057851235,22,11,1,0,2,2,0.7720103626247512,2,0.2518911424677821,2.792346683347172,10.447774882720246,1,0.34107168635795926,1,4,1,20.22,0.0,0.08,15.63,2.5687566226823395,12.19222855457668,dfl,DFL-MAT-J03WMX,18226500000482,0,0.104,openPlay,rightLeg,0,0,dribblingLess10m,passOpenPlay,,20.835233333333335,,-1,13.21,29.78
26.9096135237948,12.046248217880839,17.17,0.45454545454545453,0.6198347107438017,5.475567371764018,0.16528925619834717,22,11,1,1,1,3,1.6850222550459153,3,1.2106268256581834,1.72072659071684,25.190355297216435,1,0.06876352937450271,4,5,0,12.9,-5.41,0.17,14.07,1.1758438374527795,61.3177426778828,dfl,DFL-MAT-J03WMX,18226500000536,0,0.0202,openPlay,rightLeg,0,0,dribblingLess10m,lossOfPossession,,24.872700000000002,,-1,26.91,12.05
13.93838225907154,27.67554929189814,5.130000000000003,0.04132231404958678,0.04132231404958678,1.1436177393346338,0.0,22,11,1,1,2,2,1.0941663493271936,1,1.0801253488511258,2.3720033726788836,11.983509502645715,1,1.2440037644049369,1,5,1,12.74,-3.07,1.92,57.36,0.3066807700431498,39.4471943379676,dfl,DFL-MAT-J03WMX,18226500000602,0,0.0155,openPlay,head,1,0,volley,crossOpenPlay,,28.777449999999998,,-1,13.94,27.68
14.500210343301923,15.483715858805766,12.440000000000001,0.4297520661157025,0.4793388429752066,6.654158881470247,0.049586776859504134,22,11,1,1,1,1,1.7010584939971962,2,5.711227495279359,1.5181897114656058,12.994152531042564,1,0.1813215076024438,4,8,1,23.38,-0.72,1.6,49.77,6.006043883701999,24.170211032527607,dfl,DFL-MAT-J03WMX,18226500000848,0,0.0713,openPlay,head,1,0,volley,crossOpenPlay,,41.69625,,1,14.5,15.48
27.341720867567943,14.938953550084086,5.609999999999999,0.2892561983471074,0.32231404958677684,4.321184911181347,0.03305785123966942,22,11,1,2,1,1,2.6510752535527993,3,2.6237375601728656,1.1148542505637333,26.252108486748256,1,0.2311412668796729,3,4,0,9.55,-3.76,0.09,24.95,2.483792774056603,100.67095200247228,dfl,DFL-MAT-J03WMX,18226500001065,0,0.0188,openPlay,leftLeg,0,0,direct,crossOpenPlay,,74.42741666666667,,-1,27.34,14.94
11.611395264997231,28.959725280265136,7.109999999999999,0.4297520661157025,0.5702479338842975,12.445501773337083,0.14049586776859502,22,11,1,1,3,3,1.8529975715040772,4,1.7458367007028983,1.419471732723123,10.386924472624235,1,0.6787556378998102,6,10,1,8.28,0.48,1.84,60.83,1.361753275891327,100.45311487702799,dfl,DFL-MAT-J03WMX,18226500001126,0,0.0258,openPlay,head,1,0,volley,cornerKick,,78.26528333333334,,-1,11.61,28.96
