ev.MatchId,ev.CalculatedFrame,ev.X-Source-Position,ev.EventTime,ev.Y-Source-Position,ev.CalculatedTimestamp,ev.EventId,ev.X-PositionFromTracking,ev.X-Position,ev.Y-PositionFromTracking,ev.Y-Position,setpiece_parent,Team,Pressure,GoalDistanceGoalkeeper,ShotOrigin,AssistTypeShotAtGoal,AssistShotAtGoal,AngleToGoal,PlayerSpeed,TakerBallControl,CounterAttack,Player,ChanceEvaluation,SetupOrigin,TypeOfShot,TakerSetup,AfterFreeKick,DistanceToGoal,InsideBox,SignificanceEvaluation,BuildUp,AssistAction,xG,BallPossessionPhase,AmountOfDefenders,ShotCondition,outcome,out.Placing,out.PitchMarking,ExtendedTypeOfShot,out.CurrentResult,out.GoalZone,out.RefDecisionEvaluation,out.Assist,out.AssistType,out.Solo,out.SaveEvaluation,out.GoalKeeper,out.SaveType,out.SaveResult,out.Player,out.GoalPrevented,ShotContribution,out.Location,SitterContribution,out.BlockedByOwnTeam,Penalty.Team,Penalty.CausingPlayer,Penalty.GoalkeeperBehaviour,Penalty.DecisionTimestamp,Penalty.ProspectiveTaker,Penalty.RefDecisionEvaluation,Penalty.RetakenPenalty,Penalty.PlayersInBox,Penalty.GoalkeeperMovement,PenaltyDirection,PenaltyExecution,src_file,out.DeflectionKeeper,ev.EndFrame,ev.StartFrame,FreeKick.DecisionTimestamp,FreeKick.Team,FreeKick.ExecutionMode,DirectFreeKickIntention,Rotation,out.AssistContribution,Penalty.FouledPlayer,ShotAssistFouledPlayer,out.AssistFouledPlayer,out.Error,out.DeflectionPlayer,goal
DFL-MAT-J03WQQ,125564.0,89.97,2022-11-05 14:20:54.448000+01:00,39.01,2022-11-05T14:20:54.880+01:00,18240200001066,89.25,89.97,38.29,39.01,openPlay,DFL-CLU-00000P,0.66,1.92,3,direct,DFL-OBJ-0026RH,24.49,12.28,direct,0,DFL-OBJ-J0130T,chance,left,leftLeg,otherPassFromOpenPlay,0,16.32,1,average,passOpenPlay,otherPassFromOpenPlay,0.0861,1066,3.0,notComplicated,ShotWide,far,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DFL_03_02_events_raw_DFL-COM-000002_DFL-MAT-J03WQQ.xml,,,,,,,,,,,,,,,0
DFL-MAT-J03WQQ,126575.0,84.36,2022-11-05 14:21:33.400000+01:00,50.75,2022-11-05T14:21:35.320+01:00,18240200001075,86.33,84.36,48.53,50.75,openPlay,DFL-CLU-00000P,1.14,2.21,7,others,DFL-OBJ-002G5J,14.05,13.14,dribblingLess10m,0,DFL-OBJ-0026RH,none,insideLeft,rightLeg,otherPassFromOpenPlay,0,23.66,0,none,passOpenPlay,otherPassFromOpenPlay,0.0264,1075,1.0,notComplicated,BlockedShot,,,,,,,,,,,,,,DFL-OBJ-J014L2,false,,,,,,,,,,,,,,,,DFL_03_02_events_raw_DFL-COM-000002_DFL-MAT-J03WQQ.xml,,,,,,,,,,,,,,,0
DFL-MAT-J03WQQ,128070.0,96.48,2022-11-05 14:22:38.569000+01:00,37.81,2022-11-05T14:22:35.120+01:00,18240200001089,96.17,95.61,37.31,36.05,openPlay,DFL-CLU-00000P,0.65,1.41,3,direct,DFL-OBJ-0026RH,40.56,6.07,volley,0,DFL-OBJ-002FXT,chance,left,head,throwIn,0,9.43,1,average,throwIn,throwIn,0.1405,1089,1.0,notComplicated,ShotWide,far,right,frontalVolley,,,,,,,,,,,,,,,,,,,,,,,,,,,,DFL_03_02_events_raw_DFL-COM-000002_DFL-MAT-J03WQQ.xml,,,,,,,,,,,,,,,0
DFL-MAT-J03WQQ,140059.0,21.94,2022-11-05 14:30:35.330000+01:00,25.68,2022-11-05T14:30:34.680+01:00,18240200001210,21.52,21.94,25.86,25.68,openPlay,DFL-CLU-00000H,0.27,2.77,8,others,DFL-OBJ-J014L2,16.98,7.81,direct,0,DFL-OBJ-002FZR,chance,insideRight,rightLeg,otherPassFromOpenPlay,0,23.01,0,average,passOpenPlay,otherPassFromOpenPlay,0.0439,1210,1.0,notComplicated,ShotWide,far,over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DFL_03_02_events_raw_DFL-COM-000002_DFL-MAT-J03WQQ.xml,,,,,,,,,,,,,,,0
DFL-MAT-J03WQQ,142871.0,96.08,2022-11-05 14:32:28.130000+01:00,37.81,2022-11-05T14:32:27.160+01:00,18240200001227,96.32,96.08,36.14,37.81,openPlay,DFL-CLU-00000P,1.04,1.01,3,direct,DFL-OBJ-002G5J,43.68,12.14,volley,0,DFL-OBJ-002GM9,chance,right,head,cornerKick,0,8.94,1,average,cornerKick,cornerKick,0.1353,1227,3.0,notComplicated,ShotWide,far,over,frontalVolley,,,,,,,,,,,,,,,,,,,,,,,,,,,,DFL_03_02_events_raw_DFL-COM-000002_DFL-MAT-J03WQQ.xml,,,,,,,,,,,,,,,0
DFL-MAT-J03WQQ,160633.0,17.93,2022-11-05 14:44:17.804000+01:00,35.1,2022-11-05T14:44:17.640+01:00,18240200001444,17.81,17.93,36.75,35.1,openPlay,DFL-CLU-00000H,0.92,1.35,8,others,DFL-OBJ-002GMV,22.72,8.2,direct,0,DFL-OBJ-J014L2,chance,left,leftLeg,teammateAction,0,18.02,0,average,freeKick,teammateAction,0.0485,1444,3.0,notComplicated,BlockedShot,,,,,,,,,,,,,,DFL-OBJ-002GMV,false,,,,true,,,,,,,,,,,,DFL_03_02_events_raw_DFL-COM-000002_DFL-MAT-J03WQQ.xml,,,,,,,,,,,,,,,0
DFL-MAT-J03WQQ,162418.0,38.17,2022-11-05 14:45:27.349000+01:00,28.28,2022-11-05T14:45:29.040+01:00,18240200001463,30.8,30.76,31.12,32.4,openPlay,DFL-CLU-00000H,0.37,5.14,8,others,DFL-OBJ-0002EL,13.44,16.63,dribblingLess10m,0,DFL-OBJ-0028HW,chance,left,rightLeg,otherPassFromOpenPlay,0,30.93,0,average,passOpenPlay,otherPassFromOpenPlay,0.0226,1463,1.0,notComplicated,ShotWide,far,over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DFL_03_02_events_raw_DFL-COM-000002_DFL-MAT-J03WQQ.xml,,,,,,,,,,,,,,,0
DFL-MAT-J03WQQ,163791.0,14.13,2022-11-05 14:46:23.518000+01:00,38.21,2022-11-05T14:46:23.960+01:00,18240200001478,14.36,14.13,38.51,38.21,openPlay,DFL-CLU-00000H,1.11,1.36,3,others,DFL-OBJ-0027AY,26.25,1.7,controlShot,0,DFL-OBJ-0028HW,chance,left,leftLeg,teammateAction,0,15.05,1,decent,passOpenPlay,teammateAction,0.046,1478,2.0,notComplicated,ShotWide,near,over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DFL_03_02_events_raw_DFL-COM-000002_DFL-MAT-J03WQQ.xml,,,,,,,,,,,,,,,0
DFL-MAT-J03WR9,19597.0,98.29,2022-11-11 18:37:36.534000+01:00,38.61,2022-11-11T18:37:36.240+01:00,18242100000110,97.38,98.41,36.56,36.55,openPlay,DFL-CLU-00000P,1.0,1.68,3,direct,DFL-OBJ-002GM1,47.44,16.42,volley,0,DFL-OBJ-002GM9,chance,right,head,freeKick,0,8.04,1,decent,freeKick,freeKick,0.0823,110,1.0,complicated,SavedShot,,,frontalVolley,,,,,,,average,DFL-OBJ-00003W,arms,notCleared,,,,,,,,,,,,,,,,,,DFL_03_02_events_raw_DFL-COM-000002_DFL-MAT-J03WR9.xml,,,,,,,,,,,,,,,0
DFL-MAT-J03WR9,19649.0,94.98,2022-11-11 18:37:40.070000+01:00,42.53,2022-11-11T18:37:38.320+01:00,18242100000112,95.61,94.98,44.29,42.53,openPlay,DFL-CLU-00000P,0.78,0.91,3,indirect,DFL-OBJ-002GM9,20.83,12.74,direct,0,DFL-OBJ-00008K,chance,right,leftLeg,oppositionGoalkeeperAction,0,13.93,1,average,freeKick,shot,0.0525,112,4.0,notComplicated,BlockedShot,,,,,,,,,,,,,,DFL-OBJ-002GPN,false,,,,,,,,,,,,,,,,DFL_03_02_events_raw_DFL-COM-000002_DFL-MAT-J03WR9.xml,,,,,,,,,,,,,,,0
